symbol	cluster	TNFAIP1	TNFAIP2	TNFAIP3	TNFAIP6	TNFAIP8	TNFAIP8L1	TNFAIP8L2	TNFAIP8L3	TNFRSF10A	TNFRSF10B	TNFRSF11B	TNFRSF12A	TNFRSF13B	TNFRSF13C	TNFRSF14	TNFRSF17	TNFRSF18	TNFRSF19	TNFRSF21	TNFRSF25	TNFRSF4	TNFRSF6B	TNFRSF8	TNFRSF9	TNFSF10	TNFSF11	TNFSF12	TNFSF13	TNFSF13B	TNFSF14
C102	cluster2	394.55	3282	7667	8064	4218.92	155.93	2453	439.34	240.95	541.09	0	87	36	182.94	1431	112	4	3	9.01	44	4	5	227	77.18	31754.82	3	289	1087	23986.82	2552.36
C103	cluster2	265.96	21074	7819	11913	3459.11	179.65	4110	38.99	116.54	1808.66	0	93	26	36.8	3831	54	24	0	5	88.96	7	4	903	101.1	43518.41	12	427.03	1532.14	13410	5065.07
C12	cluster2	350.08	9500.99	4269	1911	3862.97	173.98	1926	9.76	173.3	1523.81	0	98	130	190.65	973	320	9	10	1	58	3	0	75	157.52	9544.4	3	617.09	2289.97	1677	2596.23
C14	cluster2	334.11	12275	9098	4288	2735.66	168.06	1692	16.1	105.64	1027.66	1	128	89	163.39	1082	405	1	2	5	25	2	0	79	128.64	13272.91	5	267.55	1503.77	6520.8	3503.92
C15	cluster2	274.79	8169	2420	1512	2070.47	210.48	1667	11.01	171.89	1054.43	0	112	40	121.68	898	158	3	1	6.01	53	0	1	141	163.74	10164.5	0	491.9	2004.49	2035	3550.61
C2	cluster2	260.23	14865	1256	1037	2051.01	223.78	1383	7.13	140.23	1693.61	0	82	90	99.11	1413	330	16	8	20.09	115	6	5	304	127.04	7952.3	1	559.64	2100.16	2090.71	1382
C20	cluster2	370.3	27639.8	3453	5387	2974.77	189.15	3031	5.9	73.34	1500.21	0	239	112	106.34	1596	435	8	9	9	24	1	1	257	370.26	15174.25	0	595.6	1761.01	1971.83	5914.26
C21	cluster2	268.06	9165	4909	11161	3543.51	171.53	2149	21.79	61.16	872.57	0	174	62.04	66.76	627	373	3	4	8.09	17	1	0	79	151.29	24699.81	0	432.72	1266.86	4985.91	5687.86
C22	cluster2	208.35	7856	2382	2056	4918	93.93	2327	7.71	76.03	358.67	0	94	46	47.26	585	330	1	15	5	1	0	0	69	110.87	14461.16	4	303.13	804.7	4230.6	2879.04
C23	cluster2	301.08	9597.85	1638	4074	2971.77	124.72	1915	15.41	142.93	1532.81	3	112	20	73.95	945	63	8	6	4	17	0	0	249	241.32	16171.58	3	363.24	1776.04	6605.01	2947.58
C24	cluster2	334.76	24778.64	4648	2568	2735.73	147.56	2154	9.12	89.68	1337.25	0	129	74	94.91	1155	346	11	4	5	45	1	0	139	599.76	11697.59	1	446.08	1401.9	2483.03	4522.71
