symbol	cluster	HLA-A	HLA-B	HLA-C	HLA-DMA	HLA-DMB	HLA-DOA	HLA-DOB	HLA-DPA1	HLA-DPB1	HLA-DQA1	HLA-DQA2	HLA-DQB1	HLA-DQB2	HLA-DRA	HLA-DRB1	HLA-DRB5	HLA-E	HLA-F	HLA-G
C31	cluster2	70282.99	153107.67	66923.56	830	864	233	289	2140.14	1542.99	571.59	270.41	1142.87	3.13	10401	2995.03	54.67	120162.6	6490.67	78.47
C32	cluster2	78658.47	138966.88	63712.34	1111	589	76.41	59	1790	1518.15	173.32	194.68	344.09	1.91	8946	4787.37	39.94	140714.49	4508.23	102.48
C36	cluster2	90930.67	185127.27	82168.36	743	645	96	123	1533	1091.52	277.55	16.45	1024.9	3.1	6080	2809.68	73.89	101854.04	4149.64	100.13
C37	cluster2	21364.69	68308.9	39903.14	560	750	135.04	112	1819	1319.52	225.85	200.15	634.25	3.75	6782	2727.18	71.38	61347.98	2438.32	63.01
C38	cluster2	95583.91	160272.2	98078.22	659	668	83.35	122	1195	1142.46	122.15	7.85	316.72	4.28	6765	2117.88	149.58	139429.9	6504.95	48.74
C39	cluster2	89708.59	206091.08	136878.62	1015	1192	140.37	164	1740	1258.27	339.76	57.24	2143.57	2.43	9733	2878.51	92.02	122151.07	8737.39	131.49
C40	cluster2	70096.17	172946.29	123179.49	462	436	55.17	364	1066	713.19	269.41	142.59	588.09	0.91	4658	2176.83	777.35	131655.96	5582.93	154.22
C41	cluster2	92929.15	201002.55	151180.14	457	552	120	122	810	521	373.03	3.97	512	1	3024	2056.25	626.14	172400.81	9625.84	177.59
C42	cluster2	73019.13	181493.8	124795.16	1117	1173	444.01	455	2712.13	2052.01	1052.84	0.16	1451.86	1.14	11385	4793.69	233.54	133877.61	5023.53	44.44
C43	cluster2	68466.38	188315.64	113101.45	229	309	69.27	93	485	454.05	262.88	3.12	742	0	1793	1209.29	45.46	147651.01	5301.68	94.42
C44	cluster2	70810.16	105233.37	65577.94	1096	1191	417.3	269	2531	2036	579.02	406.98	521.93	4.07	12710	3691.6	166.99	96559.92	3192.12	56.47
C45	cluster2	69646.13	195042.15	95432.69	487	538	197.66	155	1161.07	1070.93	437.12	32.88	826.05	4.95	5965	2263.08	663.16	142058.8	3035.9	53.24
