symbol	cluster	IL10	IL10RA	IL10RB	IL11	IL11RA	IL12A	IL12B	IL12RB1	IL12RB2	IL13	IL13RA1	IL13RA2	IL15	IL15RA	IL16	IL17A	IL17B	IL17C	IL17D	IL17F	IL17RA	IL17RB	IL17RC	IL17RD	IL17RE	IL17REL	IL18	IL18BP	IL18R1	IL18RAP	IL19	IL1A	IL1B	IL1F10	IL1R1	IL1R2	IL1RAP	IL1RAPL1	IL1RAPL2	IL1RL1	IL1RL2	IL1RN	IL2	IL20	IL20RA	IL20RB	IL21	IL21R	IL22	IL22RA1	IL22RA2	IL23A	IL23R	IL24	IL25	IL26	IL27	IL27RA	IL2RA	IL2RB	IL2RG	IL3	IL31	IL31RA	IL32	IL33	IL34	IL36A	IL36B	IL36G	IL36RN	IL37	IL3RA	IL4	IL4I1	IL4R	IL5	IL5RA	IL6	IL6R	IL6ST	IL7	IL7R	IL9	IL9R
C95	cluster1	65.14	4231	4774.35	11.23	142	28	1	599.9	49.06	0	5412	0	131.26	253	10824.25	0	0	0	2	0	15220.7	14	40	21.05	5	1.11	190.62	123.12	3290	5928	0	2	1252	0	1713.11	10647	948.99	0	0	23.11	0	4643	0	0	0	16	5	183.94	0	0	0	26	2.51	24.56	0	0	11	1149.84	140.48	554	9233	0	0	3	2575	2	1	0	0	0	0	0	46	2	3.04	8010.99	0	38	3	10984.52	2190	19	4033	0	29
C98	cluster1	64.76	3503	4154.94	7.86	357	8	0	588.44	21.06	0	5811.71	0	110.55	118	9508.28	0	0	0	3	0	10893.01	22	119	15.33	5	1.04	809.39	152.04	4692	19848	0	0	842	0	1096	62013	626.47	0	0	50	6	2068	0	0	2	23	2	180.1	1	0	0	37	0	19.2	1	0	16	1228	78.1	541	8282	0	0	0	2908	0	0	0	0	0	0	0	80	1	6	7295	0	20.96	2	6307.2	1127	10	3195	0	42
C102	cluster2	384.88	4028	7677.02	4.25	93	6	2	322.19	24.13	0	8167.26	0	258.39	178	8743.77	0	0	0	0	0	24586.68	33	13	18.57	4	1.15	154.91	102	25631	31918	1.01	0	3068	0	2735.78	96525	5205.73	0	0	561	0	22096	0	0	0	12	2	273.04	0	0	11	8	0	23.68	0	0	65	579	109	1131	18539	0	0	3	1955	0	1	0	0	0	0	0	391	2	5	21771.03	0	17	3	9096.08	4611	35	3155	0	3
C103	cluster2	169.15	3615	10394.68	3.14	110	2	3	1439.81	25.11	0	6997	0	729.83	872	9220.21	0	0	1	0	0	14997.86	109	33	30.85	9	10.98	253	77	14991	25115	15	5	5167	0	2919.61	18051	502.52	0	0	434	21	19346	0	0	0	31	2	146.07	0	0	1	23	2.02	15.85	1	1	75	829	89	580	26410	0	0	2	2585	0	0	0	0	0	0	0	198	17	16	14921	0	29	0	6483.2	1560	10	1133	1	13
C12	cluster2	94.84	4950	5633.87	2.04	142	14	0	509.22	79.66	0	10338	0	156.82	143	9980.37	0	0	1	1	0	16552.65	33	21	13.76	2	2.36	599.07	80	17585	19680	1	0	875	0	3228	84387	1898.53	0	0	628	7	3412	0	0	0	17	12	124.56	0	1	0	11	2	10.95	0	0	12	1158.01	35.34	941	9901	0	0	1	1416	0	0	0	0	0	0	0	140	0	4.85	7925.7	0	10	2	12989.97	2436	10	3944	0	20
C14	cluster2	25.31	2142	5585.93	7.51	64	4	3	865.97	19.32	0	12531.01	0	141.2	141	10139.42	0	0	1	1	0	20896.3	16	12	20.71	2	5.24	166	69	37202	23552	0	0	1310	0	6156.6	61557	2790.86	0	0	380	4	3659	0	0	0	21	4	72.12	1	1	0	1	0	17.19	0	0	14	476	49.98	243	12692	0	0	2	350	0	0	0	1	0	0	0	57	0	4.01	14437	0	33	0	11427.02	2875	4	1750	0	19
C15	cluster2	43.14	2466	4819.77	7.96	84	10	0	241.34	20.16	0	9005.03	0	64.48	86	10808.17	0	0	0	0	0	21987.61	7	13	7.33	1	1.01	204	67	10970	25883	0	2	1255	0	2648.6	49448	4150.75	0	0	296	27	2868	0	1	0	30	0	93.35	1	1	0	19	3.62	15.97	1	0	4	879.05	121.06	182.95	11136	0	0	0	1407	0	3	0	0	0	0	0	59	3	3.14	14216	1	478	3	14843.52	2968	13	5791	1	8
C2	cluster2	26.08	4606	2834.67	5.15	127	8	0	527.07	23	0	4172.01	0	119.09	160	6977.02	0	0	0	0	0	9918.75	14	32	10.67	24	2.99	225	115	645	674	3.26	0	2043	0	535.51	3964	702.68	0	0	32	2	2803	0	0	0	20	2	160.28	0	2	0	42	0	8.35	0	1	9	1093	114.07	659	6698	0	0	7	1667	0	0	0	0	0	0	0	639	5	11.26	5597	0	204	5	7745.29	1415	11	3901	1	60
C20	cluster2	57.75	2797	3979.95	4.24	82	10	0	666.31	29.11	0	17494.02	0	209.63	145	14703.72	0	0	1	1	0	19544.12	14	21	23.56	3	5.76	328	168.19	15286	11656	0	2	4306	0	3941	47141	4293.32	0.97	0	373	13	4433	0	0	1	16	4	53	2	0	0	9	2.06	21.6	2	0	3	453.04	38.99	524	11937	0	0	1	907	0	2.87	0	0	0	0	0	261	0	3	6474	0	40	1	19017.18	1222	13	1452	0	21
C21	cluster2	63.39	2898	6943.72	5.9	66	5	1	431.2	16.49	0	20133.67	0	269.2	137	10136.36	0	0	0	1	0	22271.66	8	12	20.39	1	0.39	309.2	72	29136	26885	1	7	3593	0	5647.83	79909	4587.5	0	0	632	5	8996	0	0	0	30	4	59.72	0	1	0	9	0.84	16.72	0	1	17	390	42	506	15011	0	0	0	1037	0	0	0	0	0	0	0	80	0	1	18837.99	0	31	1	15427.26	4017	5	2764	0	6
