	C1	C10	C100	C101	C11	C13	C16	C17	C18	C19	C25	C30	C33	C34	C35	C4	C51	C53	C57	C59	C6	C60	C61	C62	C63	C65	C66	C67	C69	C7	C70	C72	C73	C74	C79	C82	C83	C84	C86	C87	C9	C90	C91	C93	C94	C95	C98	C102	C103	C12	C14	C15	C2	C20	C21	C22	C23	C24	C26	C27	C28	C29	C3	C31	C32	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C5	C50	C52	C55	C56	C58	C64	C68	C71	C75	C76	C77	C78	C8	C80	C85	C89	C92	C96	C97	C99	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC16	NC17	NC18	NC19	NC2	NC20	NC21	NC22	NC23	NC24	NC25	NC26	NC3	NC4	NC5	NC6	NC7	NC8	NC9
Monocytes	0.012717268	8.86E-18	0	0	0	1.58E-18	1.34E-18	7.48E-19	3.25E-19	0	1.23E-18	8.02E-19	0	6.72E-19	0	1.15E-18	0	8.15E-18	0	0	3.09E-18	0	2.97E-18	0	0	0.000213303	0.00080939	0	6.50E-19	7.03E-19	0.000446712	0	0.002549694	0	0	0.002965795	0.00156488	0	2.48E-19	1.13E-18	0	0	7.62E-18	0.006455255	2.35E-18	0.00078709	1.36E-18	9.98E-19	0	6.17E-18	2.07E-18	1.02E-18	1.64E-18	0	2.70E-18	1.40E-18	0	0	0	1.23E-18	1.71E-18	0	3.11E-18	2.88E-18	0	0	1.44E-18	3.59E-18	0	2.11E-18	0	0	3.13E-18	0	2.42E-18	0	0	1.27E-18	1.68E-18	0	9.50E-18	4.95E-20	2.12E-18	7.30E-18	1.35E-17	0	5.62E-18	4.14E-18	0	7.30E-18	8.75E-19	0.007668067	2.67E-18	3.30E-18	0	4.03E-18	1.45E-18	2.65E-18	1.67E-18	1.47E-18	0	0.003301565	7.61E-20	0	0.004729994	1.99E-19	2.58E-18	4.43E-19	0.006536324	0.009406111	0.015015609	0.003458747	0	0	0	0.000512556	6.28E-19	0	4.60E-18	0.00391457	0	0	0	0	0.002101054	0
MPP	4.57E-19	0.007610349	0	3.26E-19	2.33E-19	7.40E-19	5.26E-18	0	2.60E-18	1.25E-17	0	0	0	0	0	0	0.000213773	0	0	1.43E-17	7.53E-19	1.57E-19	0	0	6.60E-18	2.71E-18	8.93E-18	1.39E-20	0	2.61E-18	1.50E-18	6.67E-18	0	0	4.61E-18	2.65E-18	0	9.63E-20	3.45E-19	1.89E-19	0.001646457	3.99E-19	0	0	0	4.39E-18	0.018010078	0	1.31E-18	0	1.83E-17	1.44E-18	5.87E-20	1.20E-19	0	8.35E-18	0	0	1.59E-17	1.37E-19	0	3.00E-18	0	5.12E-19	2.07E-18	2.77E-18	3.80E-18	1.53E-18	1.71E-19	5.17E-19	2.91E-18	1.40E-19	1.97E-18	7.45E-18	2.10E-19	3.75E-18	1.77E-18	0.015798359	0.004022931	5.94E-18	0	1.01E-18	3.59E-18	8.23E-18	2.40E-19	8.34E-18	0.020387755	0	0	2.05E-18	0	8.85E-18	1.35E-18	2.58E-18	0	1.50E-18	0	5.29E-18	5.66E-18	0	0	5.12E-18	6.54E-18	1.65E-17	0	4.35E-18	4.81E-18	3.23E-18	8.53E-19	0	3.35E-18	0.002587181	1.88E-18	0	2.79E-18	4.02E-18	0	8.75E-18	6.94E-18	0	1.49E-18	2.48E-18	0	0	0	0
MSC	0.070792903	0.131324382	0.067388619	0.079235152	7.12E-18	2.76E-17	1.04E-18	0.059240586	0.065705956	0	0.058115771	0.020434491	0.077111656	0.055728612	0.024205728	0.001842665	0.087622198	0	0.03536106	0.02482583	0.030323586	0.072166872	2.27E-17	0.046186224	8.49E-18	0.032766423	0.174065587	0.191116755	0.007823432	0	0.009290591	0.163863225	4.00E-20	0.052203276	0.045286995	0.070600527	0.097866022	0.109314788	0.04010915	0.017327303	0.053290243	0.055009267	0.115067168	0.158510791	0.209918261	0.043188869	0.211597023	0.011082279	0.093123603	0.057226306	0.038014246	0.053301216	0.056150675	0.086360348	0.00642714	0.042338138	0.062910189	0.092813967	0.073697126	0.032854016	0.044461919	0.154239906	0.099842481	0.000259436	0.029692882	0.056454738	0.048788941	0.080836471	0.082950302	0.011075483	0.129618317	0	0.104807908	0.011135487	0.024187321	0.068054586	0.02892235	0.149209872	0.253759439	0.029851716	0.169833205	0.104658702	0.013923223	0.055302033	0.307430287	0.065824826	0.209335092	0.057015568	1.17E-18	0.031654044	0.098626433	0.029715247	0.028388099	0.124798488	0.176368512	0.062599171	0.135822488	0.255473087	0.110509518	0.237560125	0.206152346	0.09183257	0.129747555	0.127981508	0.14560922	0.106785718	0.147738213	0.179813483	0.100361286	0.188021757	0.2046568	0.146967981	0.078085769	0.170342771	0.312056792	0.299007704	0.11416555	0.349513043	0.155422622	0.197577599	0.1049176	0.15690821	0.268835669	0.109362115	0.186505362	0.062167536
mv Endothelial cells	0.002486357	0.008889992	0.00633256	0.001308993	0	0	6.08E-20	0.002422114	0.002976949	0	0.00217418	6.19E-21	0.005652948	0	0.002395345	0.00071885	0.002452043	2.59E-19	0.001680018	2.61E-19	0.002575801	0.002839587	0	0.005238432	0	0.002931217	0.010178876	0.016198332	1.94E-20	0	0.000519667	0.010606776	0.0012281	0.002879823	4.25E-19	0.001340261	0.006326713	0.00550392	0.00188334	0.001683914	0.00460048	0.002512595	0.00645966	0.010450571	0.009420689	0.002083151	0.016376357	0.00163032	0.015647428	0.002747904	0.000619328	0.001953819	0.000833348	0.001099945	0	0.001053291	0.003991673	0.001431578	0.002273391	0.002834934	0.00239503	0.008785847	0.004142389	0.00443814	0.000709293	0.00401583	1.64E-19	0.003012817	0.008002087	0.000305507	0.016455935	0.000671612	0.015267358	0.003177031	0.001469538	0.005534036	0.000622737	0.012122174	0.033510703	0.000211757	0.019651116	0.00176623	1.81E-22	0	0.018699821	0.005334039	0.028160925	0	0.000914596	0.003441529	0.004644175	0.00134913	0.00352084	0.014936854	0.011957773	0.00040195	0.011840124	0.015629043	0.006590348	0.020126086	0.01803134	0.002971692	0.005115401	0.005303851	0.005355197	0.004140599	0.006166138	0.005579206	0.001394883	0.00970296	0.015117232	0.003532523	0.00590643	0.01207088	0.012987555	0.014662871	0.004001705	0.015870825	0.051166552	0.01360553	0.002619667	0.015767822	0.023200115	0.001649651	0.008539104	0.001146006
Myocytes	0.000455551	0.004376563	2.22E-19	0.000687184	0.001925948	0.003216214	0.001415116	1.10E-20	0.003050822	0.005690622	0.001649998	0.006231109	0	0.006947371	0.00158087	0.002560038	0	0.002862273	0.001202337	0.003102853	0.000995092	0.000600026	0.003182368	0.000299372	0.00291875	0.003816582	1.65E-19	0	0.003212076	0.00220089	0.001356595	9.89E-21	0	0.002609124	0.003200399	0.004261169	0	8.94E-20	0.002001908	0.002501547	0.003264515	0.001569319	0.000266849	0	1.20E-19	0.002622839	0.001276943	0.001499894	0.001027072	0.003307022	0.000592196	0.000899551	0.000189485	0.004401322	0.005402413	0.002196053	0.004210922	0.002903516	0.002898096	0.002331053	0.001135485	0.000654699	0.000481259	0.002971607	0	0.000676969	0	0.000724671	9.33E-20	0.00215838	0.002060852	0.000368966	0.004453095	0.001232615	0.004091004	0.000346021	0.002474912	0.003630321	0	0.002115129	0.00892308	0.001374142	0.000482164	0	0	0.006049459	0	0	0.000215701	0.004048764	0.003472297	0.002351662	0.001004415	4.70E-20	0.007989598	0.009397588	0.005909639	0.000693565	0.005486238	0	0	0.002493468	0.001227077	0.003685504	0.003869872	0.0074383	8.10E-20	0.00022481	0.002401998	0.001842411	0.001866523	0.004192143	0.000211561	0.000502818	0.002622234	2.39E-19	0.001516666	2.55E-19	0	0.003139236	0.005433669	1.98E-19	0.002249789	0.003951609	0.003976735	0.002913574
naive B-cells	1.79E-20	0.005900539	0.005139249	0.074382187	0.043031882	0.00945044	0.012438881	0.012576254	0.025374908	0.034678019	0.018351898	0.02636161	0.003043668	0.030571432	1.37E-18	0.064102731	0.003216937	0.037717528	0.026249393	0.066471115	0.014737949	0.003989979	0.024561669	0.018621923	0.088585354	0.019822173	0.053058697	6.81E-18	0.013638641	0.037429431	0.012507054	0.031002315	0.037535863	0.031933519	0.07258944	0.011949089	0	0.000238258	0.026435786	0.038801469	0	0.000596838	0.045579325	0.01703394	0.026213076	0.027835643	7.03E-19	0.0342245	0.00240532	0.019500151	0.025209553	0.023315917	0.012814093	0.008060629	0.007667876	0.008572656	0.016719266	0.011745602	0.044758265	0.004693686	0.006490546	0.002944072	0.010820445	0.012860448	5.28E-21	0.00473154	0.006572425	0.009320636	0.001047692	0	0	0.031243904	0.011933911	0.031153896	0.024548539	0.034479554	0.016944798	0.009349776	0.012725251	0.02858475	0.00264782	0	0.009347093	0.016619834	0.025723854	0.034707943	6.30E-20	0.015397725	0.021392532	0.010461497	0	0.015430813	0.012208838	0.007394459	0.026999421	0.023253946	0.027649115	0.071655654	0.013939258	0.004454363	0.05527485	0.013998399	0.032813679	0.028041344	0.025423804	0.026498561	0.023260329	0.095371816	0.054527676	0.000811661	0.034533638	0.005204291	0.019721814	0.014517053	0.081234144	0.04664846	0.077985805	0.071542771	0.012262124	0.005710198	0.008477086	0.008967856	0.01611044	0.035388915	0.039553596	0.072811671
Neurons	8.03E-20	0	3.02E-20	0.00041328	0.00030349	0.000268676	0	0	0	0.00019465	0.000195914	0	0	0.000235964	0	0	0	0.000405359	0	0.001008184	0	0	0.000155737	1.39E-19	0	0	0	5.56E-20	0	0.000100091	0	0	0.000231049	0	0.000603214	0.000202554	1.59E-20	7.09E-05	0	0.000636028	0	1.80E-20	0.000354713	0	0.000184006	0	2.89E-20	0	0	0	1.27E-19	1.34E-19	1.72E-19	0.000145863	0	0.000442252	7.63E-05	3.75E-20	2.05E-21	0.000104335	0	9.05E-20	7.57E-06	0	0	0	2.92E-20	0	0	4.10E-20	0	0	0	1.77E-19	1.80E-19	0.000461144	0.000278411	0	0	0	0.000164552	4.35E-05	0	1.86E-19	0	1.55E-05	0	0	0	0.000204907	9.05E-20	1.63E-05	0	3.43E-19	0.00023203	5.53E-05	2.54E-05	0.000218394	0.000114479	0	4.95E-05	0	6.39E-21	0.000168988	0.000358627	0.000245045	0.000144268	1.26E-05	0.000306509	0.000116978	8.76E-05	5.20E-05	0	4.07E-21	0.000108139	0	0.000279207	0.000278756	1.16E-20	0	0	0	1.97E-19	0.000297955	7.40E-05	0.000300578
Neutrophils	0.003579737	0.006509573	0.006098951	0	0	5.61E-05	1.88E-19	0.002973516	0.003001773	0.002569241	0	0.000972682	0.003019643	9.99E-19	0.003488549	0	0.000894493	0.003655185	0	0	0	0	0	0.003430735	0.00215223	0.008211232	0.001271764	0.001946065	5.70E-19	3.51E-18	0.001674147	0	0	0.0010664	0	0.007401242	0.008204313	3.71E-19	0.002555784	0.000487174	0.004416073	0.006545114	1.76E-18	0.000999453	6.71E-19	0.008854147	0.005015397	0.009916852	0.009973676	0.006678148	0.007746327	0.00407092	1.24E-19	0.007955445	0.006891038	0.008130628	0.011384735	0.010839501	0.005562061	0.004091855	0.010592636	0.009775987	0.00867114	1.05E-21	2.01E-19	0.005159472	0.004632996	0.008630612	0.005064805	0.008741209	0.01333368	0.007660499	0.008062847	0.00627761	0.002002658	0.006518333	0.00612953	0.012395255	4.96E-19	0.007001627	0.003311217	0.008912431	0.009347473	0.002531016	0	0.013002803	0.001649867	0.005964456	0.009359614	0.007151427	0.01109417	0.007249116	0.008841037	0.010185146	1.25E-18	0.003881247	0.010170381	0	0.010255314	0.009588134	0	0.005967455	0	0.005508849	0.01005747	0.011693952	0	0.003539526	0.008237415	0.008055622	0.010130957	0.010762719	0.007007869	0	0	0.00176091	0	0	0.001034116	0.012365444	0.009771179	0.00656829	0	0.000953949	0.009882262	2.53E-18
NK cells	0.018414998	0	0.012756873	1.45E-18	0.032518885	0.017788197	0.058988806	0.021109225	0.00387342	0.020819623	0.004890571	0.017792618	0.002577222	0.004311296	0.000271305	0.029284396	0.005913647	0.02748441	0.012726293	1.11E-18	0.002123174	0.017064459	0.044803911	0.002454507	0	0.01745315	0.004484064	0.004817309	0.048131035	0.028399695	0.03799059	0.044369327	0.048527897	1.05E-17	0.031203526	0.031026611	0.043237636	0.000519717	0.025590814	0.02386525	0	0.017537374	0.004988648	0.017393629	0.003789873	7.79E-19	1.44E-18	0.029261889	3.77E-18	0.016253671	0	7.37E-18	1.19E-18	0.002997212	0.019435644	0	2.94E-18	3.17E-18	0	0	2.98E-18	9.23E-18	0.001477324	0	0	1.92E-20	0.026267484	2.35E-18	0	0.011410355	0	0	1.71E-18	0	0.006729309	0.006320304	0	8.68E-18	0	0.003918733	0	0.020387513	5.14E-18	0	3.40E-18	0	4.20E-20	0	0.027137703	2.10E-18	0	0	2.03E-17	3.83E-18	0.01215516	3.56E-18	2.02E-18	6.67E-18	0.013556559	1.16E-18	2.47E-18	0.024060008	0.017369867	0.008494756	5.46E-19	0	0.054821063	1.65E-18	0.016209078	0	0	0	0.018586369	0.00641293	2.18E-19	0	0	0	0	1.15E-17	0.016369355	0.018629108	0	0	1.59E-18	8.30E-19
NKT	0.001375036	0.006142088	0.022743068	0	0	0.007269933	0	0.008244339	0.006425676	0	0	0.009826604	0.00382805	0.005116832	0.004837908	0.011721223	0.035343771	0.000789446	0	0.01301854	0.005396655	0	1.01E-18	0.011502424	1.54E-19	0.01401416	0.037717382	0.005740886	0.001217513	5.78E-19	0.006913965	0	0.005180961	1.18E-18	0.022056115	0.030024322	0.016502344	0.009178792	0.011860114	0.009853915	0.006401057	0.008632599	0.005168391	0.014725623	0.014887339	0.008231646	0.019204244	0.001717965	0.034403132	0.029432718	0.025679652	0.026948341	0.001085959	0.024785032	0.01614786	4.48E-20	0.012611247	0.035623101	0.014205017	0.015624447	0.037645143	0.015156028	0.043720744	0.000388594	0	0.008471442	0.039693099	0.038396076	0.020440045	0.011174879	0.027465094	0.010357654	0.013446892	0.008095848	0.023933051	0.051519708	0.016589172	0.032619258	0.083935628	0.038723823	1.88E-18	0.028018044	0.037329541	0.034386325	0.083995314	0.014489934	0.050358909	0.01291176	0.022088915	0.008497132	0.031014833	0.026841873	2.48E-19	0.027344662	0.039835326	0.021610397	0.007260793	0.026973321	0.040880513	0.073528913	0.037087291	0.017883403	0.019794124	0.029550201	0.065228378	0.044851287	0.004379323	0.031878458	0.022849778	0.035003095	0.031907171	0.019047216	0.047800194	0.008893325	0.058558026	0.063016778	0.016488455	0.065817824	0.015715598	0.036921069	0.036056398	0.039286059	0.00571607	0.015291226	0.044854262	0.00613278
Osteoblast	0.013908217	0.008744017	0.04289058	0.041458037	0.004963399	0.016899617	0.014872609	0.018530525	0.019489175	0.009705662	0.016261173	1.03E-19	0.016698422	0.000396975	0.013899748	0.024188559	0.019922321	0	0.019768552	0.003444862	0.021039547	0.035211772	0.011998465	0.01781941	0.002341025	0.021712447	0.049530832	0.045573404	0.015888764	0.009770843	0.014432904	0.053490179	0.027856189	0.013289761	0.015389883	0.011026023	0.031123545	0.03254229	0.036875639	0.022513525	0.005960076	0.023463379	0.042076288	0.050782552	0.044001562	0.016888447	0.032301883	0	0.009202834	0	0	0	0.010292189	0.007101857	0.002534519	2.85E-18	0.004934772	0.00450303	0.001774003	0.00643455	0.004700904	0.000341338	0.006531217	0	5.58E-18	0.014883105	0.008416786	0.016008044	0.008033132	0.002325212	8.22E-19	0.002420684	0.00657849	0.005980779	0.001009191	0.036004982	0.004372539	0.015373802	0.043605921	0.002859939	0.03267674	0.010557391	0.007682407	3.79E-18	0.061088447	0.008718728	0.069077399	0.003374159	0.010879537	0.034069708	0.004759208	0.023591361	0.004237227	0.011598907	0.043460667	0.001249018	0.015205668	0.049374086	0.017151888	0.009337741	0.05161143	0.040628661	0.021641369	0.017940904	0.034888959	0.001350744	0.039164069	0.028921982	0.003500048	0.026887182	0.024491029	0.024331963	0.007154016	0.04693474	0.031376886	0.01638176	0.029054045	0.053768361	0.045839093	0.02181313	0.007096307	0.034541094	0.059693234	0.012275233	0.004484251	0.009431586
pDC	0.040044126	0.006620152	0.028105184	4.21E-19	0.004804619	0.011865837	0.014257	0.01128244	0.017701884	0.01424604	0	0.009880456	0.023898083	0.009281791	0.010174207	0.008545608	0.010561974	0.003946116	0.004586858	0.000984063	7.23E-20	0.002784958	0.02669667	0.021223678	0.016037434	0.026010256	0.048992814	0.030078626	0.021827938	0.007754785	0.038828786	0.027697153	0.034594316	4.61E-19	0.001911536	0.009425847	0.042172525	0.011929285	0.021511583	0.013255732	0.004868152	0.00733282	0.005337303	0.033281357	0.00956782	0.002819777	0.007601017	0.007158947	0.028699812	0.009765147	0.007607036	0	0.006502764	0.003276237	0.001116842	0	0.004720052	0.000404732	0.006697137	0.006524316	0.002783333	0.001953603	0.028488552	0.007395332	2.50E-18	0.005820738	0.005072208	0.011888753	0.009285157	0.012873956	0.00427653	0.003076333	0.003360038	0.010760786	0.002754403	0.007890622	0.00257817	0.004227544	0.032785303	0.022722364	0.001386448	0.029278708	0.006178214	0.012980036	0.032858764	9.07E-19	0.019556658	6.67E-20	0.017999458	0	0.019675618	0.010258746	3.90E-18	0.029535183	0.02572011	0	0.003567773	0.037383443	0.01860543	0.013835637	0.015235863	0.018213669	0.033518615	0.011233502	0.004338699	0.001087466	0.017024983	0.001902635	0.020993272	0.018557721	0.000731261	0.007223156	0.003757764	0.021062153	0.040506333	0.029657877	0.020240065	0.033026951	0	0.011658726	0.010017863	0.036274727	0.034517491	0.003648484	0.007527249	0.000932482
Pericytes	0	0.002067753	0	2.61E-18	0	3.69E-18	0	0	2.24E-18	0	5.75E-19	5.28E-18	7.22E-19	0	0.017367595	0	0	0	0	1.07E-18	0	0	0	0	9.03E-18	0	0.001815705	0	0	0	6.99E-18	4.50E-19	0	0	1.46E-18	0	3.60E-18	4.32E-21	1.10E-17	1.36E-18	0	5.84E-18	3.75E-18	0	0	0	0	7.74E-19	0.003820282	0	0	2.02E-18	0.011971705	0.007671329	0	0	0.012930262	0.010490529	4.62E-18	2.17E-18	0.014326189	8.22E-18	0.017806984	0.004930343	6.36E-18	2.13E-18	1.62E-18	0.001487645	0	4.55E-18	0.020014763	0.008600986	0.009754637	0	0.000217726	3.93E-19	4.36E-19	0.044050575	0.075573904	0	0.022172189	1.77E-18	0.004323273	0.000764513	0.019903897	0.035424186	0.040067492	0	4.61E-18	0	2.91E-18	1.97E-18	2.48E-18	0.018504216	0.020438195	0.014931849	0	0.008995239	0.017365038	0.012359476	0.021732057	0	0	3.74E-18	0.001371692	0.005097607	1.37E-18	2.85E-18	0	0.009438189	0.004532061	1.12E-17	0	0.006763123	0.006234336	0.018453234	0.00242859	0.004106754	0.023158701	0.005506228	2.11E-18	0.011591019	0	0	0	5.19E-18
